,id,retweet_count,favorite_count,followers_count
1520,689275259254616065,233,1090,9008770
1521,689255633275777024,1016,2430,9008770
1522,689154315265683456,930,2937,9008770
1523,689143371370250240,471,1927,9008770
1524,688916208532455424,807,2577,9008770
1525,688908934925697024,723,1997,9008770
1526,688898160958271489,736,1992,9008770
1527,688894073864884227,644,2137,9008770
1528,688828561667567616,342,1310,9008770
1529,688804835492233216,176,915,9008770
1530,688789766343622656,626,2112,9008770
1531,688547210804498433,658,2464,9008770
1532,688519176466644993,685,2211,9008770
1533,688385280030670848,4211,8800,9008770
1534,688211956440801280,784,2138,9008770
1535,688179443353796608,551,2033,9008770
1536,688116655151435777,728,2685,9008770
1537,688064179421470721,338,1649,9008770
1538,687841446767013888,2346,5179,9008770
1539,687826841265172480,1053,2606,9008770
1540,687818504314159109,900,2359,9008770
1541,687807801670897665,675,2262,9008770
1542,687732144991551489,620,1673,9008770
1543,687704180304273409,788,2310,9008770
1544,687664829264453632,482,1843,9008770
1545,687494652870668288,542,1809,9008770
1546,687480748861947905,226,1522,9008770
1547,687476254459715584,501,1885,9008770
1548,687460506001633280,507,1960,9008770
1549,687399393394311168,580,1803,9008770
1550,687317306314240000,8633,19155,9008770
1551,687312378585812992,1786,4141,9008770
1552,687127927494963200,2126,5147,9008770
1553,687124485711986689,476,2084,9008770
1554,687109925361856513,2312,5524,9008770
1555,687102708889812993,905,2224,9008770
1556,687096057537363968,572,2131,9008770
1557,686947101016735744,3004,8210,9008770
1558,686760001961103360,1305,3341,9008770
1559,686749460672679938,1365,3299,9008770
1560,686730991906516992,1133,3926,9008770
1561,686683045143953408,761,2689,9008770
1562,686618349602762752,1280,3520,9008770
1563,686606069955735556,511,1803,9008770
1564,686394059078897668,651,1653,9008770
1565,686386521809772549,829,3094,9008770
1566,686377065986265092,532,2108,9008770
1567,686358356425093120,620,2063,9008770
1568,686286779679375361,1577,3830,9008770
1569,686050296934563840,686,2119,9008770
1570,686035780142297088,111,1092,9008770
1571,686034024800862208,1073,2932,9008770
1572,686007916130873345,380,2353,9008770
1573,686003207160610816,581,1738,9008770
1574,685973236358713344,489,1994,9008770
1575,685943807276412928,553,1550,9008770
1576,685906723014619143,2686,7105,9008770
1577,685681090388975616,116,1946,9008770
1578,685667379192414208,526,2238,9008770
1579,685663452032069632,1378,3059,9008770
1580,685641971164143616,720,2769,9008770
1581,685547936038666240,14623,31261,9008770
1582,685532292383666176,1087,2890,9008770
1583,685325112850124800,3720,8958,9008770
1584,685321586178670592,594,2515,9008770
1585,685315239903100929,977,3128,9008770
1586,685307451701334016,412,1981,9008770
1587,685268753634967552,1122,2944,9008770
1588,685198997565345792,623,2220,9008770
1589,685169283572338688,1338,3907,9008770
1590,684969860808454144,343,2271,9008770
1591,684959798585110529,2934,6458,9008770
1592,684940049151070208,976,3043,9008770
1593,684926975086034944,440,3331,9008770
1594,684914660081053696,1368,3335,9008770
1595,684902183876321280,494,1778,9008770
1596,684880619965411328,757,1986,9008770
1597,684830982659280897,20415,33265,9008770
1598,684800227459624960,939,2589,9008770
1599,684594889858887680,3289,8453,9008770
1600,684588130326986752,1327,3907,9008770
1601,684567543613382656,1137,2852,9008770
1602,684538444857667585,893,2511,9009146
1603,684481074559381504,1111,3692,9008770
1604,684460069371654144,524,1878,9008770
1605,684241637099323392,3072,7701,9009146
1606,684225744407494656,192,1183,9008770
1607,684222868335505415,1279,3633,9008770
1608,684200372118904832,983,2044,9008770
1609,684195085588783105,476,1815,9008770
1610,684188786104872960,1091,3328,9008770
1611,684177701129875456,619,1918,9008770
1612,684147889187209216,1424,2834,9008770
1613,684122891630342144,442,1905,9008770
1614,684097758874210310,1346,3916,9008770
1615,683857920510050305,1053,3626,9008770
1616,683852578183077888,327,1850,9008770
1617,683849932751646720,890,2477,9008770
1618,683834909291606017,1057,2500,9008770
1619,683828599284170753,999,2666,9008770
1620,683773439333797890,1263,3173,9008770
1621,683742671509258241,3119,6135,9008770
1622,683515932363329536,2714,6967,9008770
1623,683498322573824003,914,3017,9008770
1624,683481228088049664,943,2537,9008770
1625,683462770029932544,638,2303,9008770
1626,683449695444799489,1504,3674,9008770
1627,683391852557561860,2251,7259,9008770
1628,683357973142474752,856,2753,9008770
1629,683142553609318400,982,2731,9008770
1630,683111407806746624,854,3235,9008770
1631,683098815881154561,614,2068,9008770
1632,683078886620553216,534,1898,9009146
1633,683030066213818368,700,2051,9008770
1634,682962037429899265,15399,34814,9008770
1635,682808988178739200,158,1689,9008770
1636,682788441537560576,1050,2357,9008770
1637,682750546109968385,409,1441,9008770
1638,682697186228989953,342,1253,9008770
1639,682662431982772225,1019,2892,9008770
1640,682638830361513985,559,1963,9008770
1641,682429480204398592,1083,3260,9008770
1642,682406705142087680,1651,7181,9008770
1643,682393905736888321,620,2128,9008770
1644,682389078323662849,442,1589,9008770
1645,682303737705140231,916,2912,9008770
1646,682259524040966145,1116,3927,9008770
